customer_id,product_category,product_name,quantity,price_per_item,purchase_date,customer_state,shipping_method
C0343,Sports,Yoga Mat,2,375,1725753600000000000,CA,Standard
C0022,Books,Rug,5,311,1719532800000000000,NY,Express
C0121,Electronics,Basketball,3,32,1724803200000000000,CA,Overnight
C0444,Sports,Cushion,5,54,1727395200000000000,CA,Overnight
C0337,Home & Garden,Garden Tools,3,234,1730678400000000000,NY,Express
C0132,Home & Garden,Basketball,3,329,1722124800000000000,CA,Standard
C0346,Clothing,Jeans,3,168,1706918400000000000,NY,Express
C0056,Clothing,Hat,4,16,1719619200000000000,CA,Express
C0185,Electronics,Lamp,5,37,1735171200000000000,NY,Express
C0181,Books,Headphones,3,28,1710288000000000000,CA,Standard
C0219,Clothing,Novel,5,444,1719619200000000000,NY,Express
C0444,Electronics,Cushion,5,90,1714608000000000000,CA,Overnight
C0285,Electronics,Cookbook,5,439,1717459200000000000,CA,Express
C0322,Home & Garden,Hat,4,194,1723680000000000000,NY,Express
C0069,Clothing,Monitor,4,48,1712188800000000000,CA,Express
C0284,Books,Basketball,3,238,1705795200000000000,NY,Overnight
C0271,Home & Garden,Headphones,4,347,1720483200000000000,NY,Express
C0325,Sports,Monitor,3,330,1727222400000000000,NY,Overnight
C0073,Electronics,Smartphone,2,161,1727568000000000000,NY,Express
C0021,Books,Rug,5,136,1709251200000000000,CA,Express
C0254,Sports,T-Shirt,2,122,1730851200000000000,CA,Standard
C0116,Electronics,Jeans,4,347,1712534400000000000,CA,Standard
C0131,Sports,Cushion,2,477,1708992000000000000,CA,Standard
C0081,Clothing,Plant Pot,2,327,1716336000000000000,NY,Standard
C0423,Home & Garden,Yoga Mat,5,135,1722988800000000000,CA,Overnight
C0463,Books,Running Shoes,3,12,1732406400000000000,CA,Express
C0064,Books,Lamp,2,200,1727222400000000000,NY,Standard
C0296,Electronics,Dumbbells,3,286,1704412800000000000,CA,Standard
C0015,Home & Garden,Tennis Racket,5,478,1720569600000000000,NY,Overnight
C0493,Sports,Cushion,4,305,1730160000000000000,CA,Overnight
C0227,Clothing,Magazine,5,299,1723248000000000000,CA,Standard
C0097,Home & Garden,Textbook,3,452,1708041600000000000,CA,Express
C0082,Sports,Yoga Mat,5,307,1726444800000000000,NY,Overnight
C0342,Home & Garden,Cookbook,4,54,1731283200000000000,NY,Standard
C0388,Home & Garden,Plant Pot,3,361,1707523200000000000,NY,Standard
C0216,Books,Textbook,4,250,1705881600000000000,CA,Overnight
C0322,Home & Garden,Textbook,4,407,1715472000000000000,CA,Standard
C0275,Books,Garden Tools,5,170,1724803200000000000,NY,Express
C0440,Books,Novel,3,346,1706400000000000000,NY,Standard
C0221,Clothing,Shoes,4,49,1723766400000000000,NY,Standard
C0364,Clothing,Textbook,4,16,1718668800000000000,CA,Express
C0372,Sports,Dumbbells,5,416,1733529600000000000,CA,Standard
C0131,Clothing,Dumbbells,2,138,1717718400000000000,NY,Standard
C0272,Home & Garden,Smartphone,3,210,1705276800000000000,NY,Standard
C0116,Sports,Monitor,4,22,1728604800000000000,CA,Standard
C0449,Sports,Jeans,3,241,1731628800000000000,NY,Standard
C0353,Clothing,T-Shirt,2,125,1708041600000000000,NY,Overnight
C0408,Clothing,Dumbbells,3,479,1732320000000000000,NY,Overnight
C0369,Books,T-Shirt,4,179,1715904000000000000,CA,Overnight
C0320,Home & Garden,Plant Pot,5,171,1718841600000000000,NY,Overnight
C0052,Electronics,Tablet,4,381,1717372800000000000,NY,Standard
C0073,Home & Garden,Rug,4,282,1724112000000000000,CA,Overnight
C0413,Clothing,Monitor,2,183,1727481600000000000,CA,Overnight
C0167,Clothing,Textbook,2,147,1730505600000000000,NY,Standard
C0022,Sports,Garden Tools,3,433,1704758400000000000,CA,Overnight
C0235,Home & Garden,Cushion,5,81,1722124800000000000,NY,Express
C0438,Books,Rug,2,300,1734393600000000000,NY,Standard
C0269,Books,Tablet,5,364,1733875200000000000,CA,Express
C0193,Clothing,Cushion,3,170,1725408000000000000,NY,Overnight
C0038,Sports,Laptop,3,337,1724457600000000000,NY,Standard
C0371,Home & Garden,Monitor,2,244,1704758400000000000,NY,Standard
C0409,Sports,Cookbook,4,342,1710460800000000000,NY,Express
C0483,Books,Tennis Racket,5,240,1720483200000000000,CA,Express
C0469,Books,Headphones,3,77,1724803200000000000,NY,Express
C0113,Electronics,Jacket,2,258,1722297600000000000,CA,Overnight
C0484,Electronics,Monitor,5,420,1718409600000000000,NY,Standard
C0319,Home & Garden,Cookbook,4,26,1725580800000000000,CA,Standard
C0198,Home & Garden,Novel,5,54,1707782400000000000,NY,Standard
C0055,Books,Garden Tools,4,371,1721174400000000000,NY,Express
C0260,Sports,Cookbook,3,308,1729209600000000000,CA,Express
C0462,Books,Shoes,2,219,1708387200000000000,CA,Standard
C0166,Home & Garden,Magazine,2,350,1704585600000000000,CA,Overnight
C0456,Home & Garden,Textbook,2,299,1704326400000000000,CA,Overnight
C0479,Books,Shoes,4,105,1716595200000000000,NY,Overnight
C0121,Books,T-Shirt,3,457,1707609600000000000,NY,Overnight
C0142,Clothing,Rug,2,342,1731801600000000000,NY,Overnight
C0201,Sports,Garden Tools,2,291,1717891200000000000,NY,Overnight
C0289,Clothing,Garden Tools,4,106,1709942400000000000,CA,Standard
C0421,Clothing,Rug,3,62,1704672000000000000,CA,Overnight
C0467,Clothing,Lamp,2,280,1711152000000000000,CA,Express
C0203,Electronics,Garden Tools,4,33,1706745600000000000,NY,Overnight
C0265,Clothing,Tennis Racket,2,354,1708992000000000000,NY,Express
C0465,Clothing,Rug,3,226,1710374400000000000,NY,Overnight
C0333,Clothing,Cookbook,3,167,1724544000000000000,NY,Standard
C0064,Books,Lamp,3,421,1715558400000000000,NY,Overnight
C0484,Electronics,Garden Tools,3,13,1705363200000000000,CA,Express
C0006,Clothing,Running Shoes,3,17,1707868800000000000,NY,Overnight
C0263,Electronics,Garden Tools,2,135,1713916800000000000,CA,Overnight
C0395,Electronics,Shoes,5,366,1707868800000000000,CA,Standard
C0470,Books,Tablet,2,438,1707264000000000000,CA,Express
C0427,Sports,T-Shirt,3,106,1717718400000000000,CA,Standard
C0451,Sports,Tennis Racket,4,400,1721779200000000000,NY,Standard
C0165,Clothing,Textbook,2,207,1728777600000000000,CA,Overnight
C0176,Books,Smartphone,5,298,1731283200000000000,NY,Overnight
C0178,Electronics,Jeans,2,39,1706918400000000000,NY,Standard
C0451,Home & Garden,Rug,4,404,1726185600000000000,NY,Express
C0370,Books,Shoes,3,446,1707350400000000000,NY,Express
C0468,Clothing,Laptop,5,444,1708300800000000000,CA,Overnight
C0292,Clothing,Headphones,5,295,1718150400000000000,NY,Standard
C0034,Home & Garden,Garden Tools,3,94,1734393600000000000,NY,Express
C0489,Home & Garden,Textbook,2,270,1722297600000000000,CA,Standard
C0110,Books,Jeans,5,461,1712448000000000000,CA,Standard
C0090,Sports,Textbook,4,398,1711238400000000000,NY,Standard
C0486,Home & Garden,Novel,4,31,1705968000000000000,NY,Express
C0077,Clothing,Tennis Racket,2,253,1725321600000000000,CA,Standard
C0185,Clothing,Yoga Mat,3,160,1711929600000000000,NY,Express
C0032,Home & Garden,Headphones,2,259,1715731200000000000,CA,Standard
C0422,Books,Headphones,4,119,1709510400000000000,CA,Express
C0489,Home & Garden,Novel,4,100,1707696000000000000,CA,Standard
C0322,Books,Yoga Mat,4,175,1712707200000000000,CA,Overnight
C0035,Books,Tablet,4,238,1730160000000000000,CA,Overnight
C0449,Sports,Running Shoes,3,431,1729123200000000000,CA,Overnight
C0203,Clothing,Magazine,3,265,1725235200000000000,CA,Standard
C0419,Books,Lamp,4,96,1708819200000000000,CA,Standard
C0323,Electronics,Laptop,2,456,1734739200000000000,NY,Overnight
C0034,Clothing,Basketball,3,282,1726272000000000000,NY,Overnight
C0338,Electronics,Dumbbells,5,108,1729900800000000000,NY,Overnight
C0357,Electronics,Rug,4,31,1722297600000000000,CA,Express
C0124,Electronics,Hat,3,348,1724630400000000000,NY,Standard
C0232,Electronics,Cookbook,3,108,1714176000000000000,CA,Overnight
C0161,Sports,Magazine,2,464,1707868800000000000,CA,Standard
C0424,Home & Garden,Cushion,4,333,1724198400000000000,NY,Overnight
C0006,Books,Cookbook,4,153,1718668800000000000,CA,Standard
C0361,Electronics,Shoes,4,427,1731110400000000000,CA,Overnight
C0447,Electronics,T-Shirt,3,88,1707350400000000000,CA,Express
C0128,Home & Garden,Cushion,2,10,1716422400000000000,CA,Express
C0083,Electronics,Lamp,2,481,1706400000000000000,CA,Overnight
C0448,Home & Garden,Basketball,4,204,1730678400000000000,NY,Overnight
C0236,Home & Garden,Yoga Mat,2,82,1725753600000000000,NY,Overnight
C0454,Books,Smartphone,5,415,1719705600000000000,CA,Express
C0282,Sports,Cookbook,2,333,1717977600000000000,NY,Express
C0254,Books,Hat,2,445,1726012800000000000,CA,Express
C0358,Sports,Monitor,4,376,1711843200000000000,CA,Standard
C0030,Clothing,Cushion,2,361,1721692800000000000,CA,Overnight
C0210,Books,Cookbook,4,151,1707523200000000000,CA,Express
C0368,Books,Basketball,3,157,1730332800000000000,CA,Overnight
C0292,Electronics,Magazine,3,377,1706054400000000000,CA,Standard
C0251,Books,Cookbook,3,78,1728604800000000000,NY,Overnight
C0118,Electronics,Cushion,3,314,1727827200000000000,NY,Overnight
C0270,Home & Garden,Rug,5,239,1722643200000000000,NY,Overnight
C0332,Electronics,Cookbook,5,124,1705536000000000000,NY,Standard
C0427,Books,Garden Tools,2,234,1718409600000000000,NY,Standard
C0008,Electronics,Tablet,4,331,1705449600000000000,NY,Express
C0220,Clothing,Running Shoes,3,371,1725667200000000000,NY,Overnight
C0163,Home & Garden,Garden Tools,5,220,1734134400000000000,NY,Overnight
C0350,Clothing,T-Shirt,5,188,1728345600000000000,NY,Standard
C0437,Home & Garden,Tablet,2,348,1719792000000000000,NY,Overnight
C0199,Books,Novel,4,128,1729123200000000000,CA,Standard
C0200,Books,Smartphone,2,155,1714780800000000000,CA,Express
C0018,Clothing,Yoga Mat,2,124,1733011200000000000,NY,Overnight
C0034,Electronics,Novel,3,325,1714176000000000000,CA,Express
C0010,Clothing,Jeans,2,218,1723507200000000000,NY,Express
C0013,Books,Cushion,5,262,1732406400000000000,NY,Overnight
C0061,Electronics,Dumbbells,3,362,1719273600000000000,NY,Express
C0204,Sports,Shoes,4,164,1718841600000000000,CA,Standard
C0260,Electronics,Yoga Mat,2,119,1723766400000000000,NY,Standard
C0224,Electronics,Jacket,4,79,1706832000000000000,CA,Express
C0411,Electronics,Basketball,5,17,1706313600000000000,CA,Express
C0062,Electronics,Cushion,5,127,1717545600000000000,CA,Express
C0473,Books,Jacket,2,363,1725926400000000000,CA,Standard
C0222,Home & Garden,Jeans,4,472,1718236800000000000,NY,Overnight
C0213,Electronics,Magazine,4,435,1711843200000000000,NY,Overnight
C0238,Clothing,Jeans,5,86,1733788800000000000,NY,Overnight
C0471,Home & Garden,Cushion,4,452,1710201600000000000,NY,Overnight
C0086,Clothing,T-Shirt,5,284,1729987200000000000,NY,Overnight
